Company,Model,Location,Year,Kilometers_Driven,Power_bhp,Mileage_n,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,No_Year,Engine_CC
Honda,Jazz,Chennai,2011,46000,88.7,18.2,Petrol,Manual,First,5,8.61 Lakh,4.5,9,1199
Toyota,Innova,Mumbai,2016,36000,171.5,11.36,Diesel,Automatic,First,8,21 Lakh,17.5,4,2755
Maruti,Ciaz,Kochi,2018,25692,103.25,21.56,Petrol,Manual,First,5,10.65 Lakh,9.95,2,1462
Mitsubishi,Pajero,Delhi,2014,110000,175.56,13.5,Diesel,Manual,First,7,32.01 Lakh,15,6,2477
BMW,3 Series,Kochi,2014,32982,190,22.69,Diesel,Automatic,First,5,47.87 Lakh,18.55,6,1995
Honda,WRV,Kochi,2018,37430,88.7,17.5,Petrol,Manual,First,5,10.57 Lakh,9.9,2,1199
Volkswagen,Vento,Coimbatore,2014,55431,103.5,16.09,Petrol,Manual,Second,5,12.33 Lakh,6.98,6,1598
Maruti,Vitara,Kochi,2018,50075,88.5,24.3,Diesel,Manual,First,5,11.12 Lakh,8.63,2,1248
Hyundai,Elantra,Bangalore,2014,46374,149.92,14.62,Petrol,Automatic,First,5,23.64 Lakh,8.85,6,1999
Toyota,Innova,Bangalore,2012,70704,163.7,11.25,Petrol,Manual,First,7,18.64 Lakh,10.95,8,2694
Toyota,Innova,Mumbai,2017,22000,147.8,13.68,Diesel,Manual,First,8,19.34 Lakh,16.5,3,2393
Mercedes-Benz,C-Class,Coimbatore,2019,15369,194,0,Diesel,Automatic,First,5,49.14 Lakh,35.67,1,1950
Hyundai,Creta,Mumbai,2018,13000,88.7,22.1,Diesel,Manual,First,5,11.81 Lakh,10.5,2,1396
Nissan,Terrano,Kochi,2015,56066,108.5,19.64,Diesel,Manual,First,5,16.65 Lakh,6.92,5,1461
Tata,Zest,Pune,2017,70000,88.7,17.57,Petrol,Manual,First,5,6.67 Lakh,4.5,3,1193
Datsun,GO,Pune,2017,32851,67,19.83,Petrol,Manual,First,7,6.45 Lakh,3.95,3,1198
Toyota,Etios,Ahmedabad,2014,53000,78.9,17.71,Petrol,Manual,First,5,6.41 Lakh,3.9,6,1197
Toyota,Innova,Mumbai,2017,30000,171.5,11.36,Diesel,Automatic,First,7,27 Lakh,19.25,3,2755
Maruti,Eeco,Coimbatore,2017,38053,73,15.1,Petrol,Manual,First,5,5.13 Lakh,3.91,3,1196
BMW,3 Series,Mumbai,2015,56087,190,22.69,Diesel,Automatic,First,5,54.43 Lakh,20.75,5,1995
Nissan,Micra,Coimbatore,2016,39882,75.94,19.15,Petrol,Automatic,First,5,9.51 Lakh,6.55,4,1198
Maruti,Vitara,Mumbai,2016,55000,88.5,24.3,Diesel,Manual,First,5,9.96 Lakh,7.5,4,1248
