,Company,Model,Location,Year,Kilometers_Driven,Power_bhp,Mileage_n,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,No_Year,Engine_CC
0,Maruti,Wagon R,Mumbai,2010,72000,58.16,26.6,CNG,Manual,First,5,,1.75,10,998
1,Hyundai,Creta,Pune,2015,41000,126.2,19.67,Diesel,Manual,First,5,,12.5,5,1582
2,Honda,Jazz,Chennai,2011,46000,88.7,18.2,Petrol,Manual,First,5,8.61 Lakh,4.5,9,1199
3,Maruti,Ertiga,Chennai,2012,87000,88.76,20.77,Diesel,Manual,First,7,,6,8,1248
4,Audi,A4,Coimbatore,2013,40670,140.8,15.2,Diesel,Automatic,Second,5,,17.74,7,1968
5,Hyundai,EON,Hyderabad,2012,75000,55.2,21.1,LPG,Manual,First,5,,2.35,8,814
6,Nissan,Micra,Jaipur,2013,86999,63.1,23.08,Diesel,Manual,First,5,,3.5,7,1461
7,Toyota,Innova,Mumbai,2016,36000,171.5,11.36,Diesel,Automatic,First,8,21 Lakh,17.5,4,2755
8,Volkswagen,Vento,Pune,2013,64430,103.6,20.54,Diesel,Manual,First,5,,5.2,7,1598
9,Tata,Indica,Chennai,2012,65932,74,22.3,Diesel,Manual,Second,5,,1.95,8,1248
10,Maruti,Ciaz,Kochi,2018,25692,103.25,21.56,Petrol,Manual,First,5,10.65 Lakh,9.95,2,1462
11,Honda,City,Kolkata,2012,60000,116.3,16.8,Petrol,Automatic,First,5,,4.49,8,1497
12,Maruti,Swift,Jaipur,2015,64424,74,25.2,Diesel,Manual,First,5,,5.6,5,1248
13,Land,Rover,Delhi,2014,72000,187.7,12.7,Diesel,Automatic,First,5,,27,6,2179
14,Land,Rover,Pune,2012,85000,115,0,Diesel,Automatic,Second,5,,17.5,8,2179
15,Mitsubishi,Pajero,Delhi,2014,110000,175.56,13.5,Diesel,Manual,First,7,32.01 Lakh,15,6,2477
16,Honda,Amaze,Kochi,2016,58950,98.6,25.8,Diesel,Manual,First,5,,5.4,4,1498
17,Maruti,Swift,Jaipur,2017,25000,74,28.4,Diesel,Manual,First,5,,5.99,3,1248
18,Renault,Duster,Kochi,2014,77469,83.8,20.45,Diesel,Manual,First,5,,6.34,6,1461
19,Mercedes-Benz,New C-Class,Bangalore,2014,78500,167.62,14.84,Diesel,Automatic,First,5,,28,6,2143
20,BMW,3 Series,Kochi,2014,32982,190,22.69,Diesel,Automatic,First,5,47.87 Lakh,18.55,6,1995
21,Maruti,S Cross,Bangalore,2015,55392,88.5,23.65,Diesel,Manual,Second,5,,8.25,5,1248
22,Audi,A6,Mumbai,2015,55985,177.01,13.53,Petrol,Automatic,First,5,,23.5,5,1984
23,Hyundai,i20,Kolkata,2010,45807,80,18.5,Petrol,Manual,First,5,,1.87,10,1197
24,Volkswagen,Vento,Kolkata,2010,33000,103.6,14.4,Petrol,Automatic,First,5,,2.85,10,1598
25,Honda,City,Mumbai,2012,51920,116.3,16.8,Petrol,Manual,First,5,,4.25,8,1497
26,Nissan,Micra,Hyderabad,2012,54000,63.1,23.08,Diesel,Manual,First,5,,4.25,8,1461
27,Maruti,Alto,Hyderabad,2013,54000,67.1,20.92,Petrol,Manual,Second,5,,2.75,7,998
